1,-3.0000,0.0000,0.0000,0.0000,0.0000,62.2673,24.9328
1,-3.0000,0.0000,0.0000,0.0000,0.0000,47.5004,13.1752
1,-3.2500,0.6614,0.0000,0.0000,0.0020,46.3354,12.0011
1,-3.0000,0.0000,0.0000,0.0000,0.0000,47.9114,12.1254
2,-2.4833,3.8906,0.0000,0.0833,-0.0223,45.6299,12.1268
3,-3.5000,1.1902,0.0000,0.0000,0.0744,44.6762,11.2453
4,-2.7833,1.4317,0.0000,0.0833,0.0174,45.3729,11.9577
5,-3.0000,0.0000,0.0000,0.0000,0.0042,48.0097,12.6949
6,-3.0000,0.0000,0.0000,0.0000,0.0213,44.3423,11.0223
7,-3.8333,2.7639,0.0000,0.0000,0.0130,52.3157,12.6294
8,-3.8000,1.6248,0.0000,0.0833,-0.1195,46.6541,12.1162
9,-3.1667,0.5528,0.0000,0.0000,0.0382,46.9403,10.9803
10,-3.0000,0.0000,0.0000,0.0000,-0.0003,45.4419,12.3716
11,-3.0000,0.0000,0.0000,0.0000,0.0008,44.7184,10.9586
12,-3.0000,0.0000,0.0000,0.0000,0.0114,45.7969,12.2983
13,-3.3333,0.7454,0.0000,0.0000,0.0233,49.2750,12.6967
14,-3.0000,0.0000,0.0000,0.0000,0.0162,46.6638,11.5582
15,-3.0000,0.0000,0.0000,0.0000,0.0080,50.3845,12.1921
16,-3.0000,0.0000,0.0000,0.0000,0.0078,45.3345,11.7942
17,-2.8750,0.4146,0.0000,0.0833,0.0129,46.4935,11.4959
18,-3.0000,0.0000,0.0000,0.0000,-0.0058,44.6077,11.0303
19,-2.4000,1.9900,0.0000,0.0833,0.0657,49.5422,12.2788
20,-3.8500,1.7741,0.0000,0.0833,-0.0309,43.3755,13.1262
21,-3.1667,0.5528,0.0000,0.0000,0.0433,47.1067,11.1677
22,-3.0000,0.0000,0.0000,0.0000,-0.0151,50.2488,12.0277
23,-3.3333,0.7454,0.0000,0.0000,-0.1065,46.5953,10.9803
24,-5.7000,20.5343,0.0833,0.0833,-0.0474,43.2269,11.4020
25,-2.3833,2.1373,0.0000,0.1667,-0.0347,47.1020,12.2044
26,-5.6500,11.6325,0.0000,0.0833,0.0745,45.4488,10.5221
27,-3.3333,0.7454,0.0000,0.0000,0.0660,44.6779,11.1730
28,-2.0417,3.1784,0.0000,0.0833,0.0308,46.2168,11.5610
29,-3.8333,2.7639,0.0000,0.0000,0.0523,49.9521,12.0121
30,-3.3333,0.7454,0.0000,0.0000,-0.0304,48.8164,12.0695
31,-3.1667,0.5528,0.0000,0.0000,0.0075,42.8642,11.5567
32,-2.1667,2.7639,0.0000,0.0833,-0.0001,47.6223,11.7120
33,-3.0000,0.0000,0.0000,0.0000,0.0101,45.5997,11.9835
34,-2.5667,1.8988,0.0000,0.1667,-0.1016,44.7811,11.0416
35,-3.1167,2.1794,0.0000,0.0833,0.0409,47.5534,12.0666
36,-3.1833,0.6080,0.0000,0.0833,0.0470,45.4351,11.4587
37,-3.4000,5.9211,0.0000,0.1667,0.0423,48.2822,12.1567
38,-2.1667,2.7639,0.0000,0.0833,0.0362,44.6924,11.2411
39,-3.8333,2.7639,0.0000,0.0000,0.0183,45.8020,11.6796
40,-3.3333,0.7454,0.0000,0.0000,-0.0539,43.6638,11.8635
41,-3.0000,0.0000,0.0000,0.0000,0.0003,45.0850,11.0819
42,-3.0000,0.0000,0.0000,0.0000,-0.0060,43.5133,11.5093
43,-3.5000,1.1902,0.0000,0.0000,-0.1427,46.6998,12.0050
44,-2.2333,2.5427,0.0000,0.0833,0.0545,46.8236,12.0474
45,-3.0000,0.0000,0.0000,0.0000,0.0028,49.3851,12.0700
46,-3.1667,0.5528,0.0000,0.0000,-0.1206,47.1208,12.7850
47,-3.0000,0.0000,0.0000,0.0000,-0.0099,48.8362,12.4858
48,-2.1500,4.0924,0.0000,0.0833,0.0649,43.2207,11.2599
49,-3.0167,0.0553,0.0000,0.0833,-0.0273,50.5464,11.5173
